"sp","Exp_Run_1","Exp_Run_2","Exp_Run_3","Exp_Run_4","Pred_Run_1","Pred_Run_2","Pred_Run_3","Pred_Run_4","Exp_MEAN","Pred_MEAN","times.hi.auc","incidence"
"V10",0.961631294215564,0.968414481897628,0.970217783326398,0.976543209876543,NA,NA,NA,NA,0.969201692329033,NA,NA,3
"V1002",0.936790886362564,0.944133423484336,0.957412851747821,0.937211084380291,0.587391774891775,0.484391534391535,0.633891547049442,0.52994227994228,0.943887061493753,0.558904284068758,0,8
"V1006",0.925948149752725,0.916592803605561,0.916841239079611,0.917099284158108,0.622533408620365,0.71422297509254,0.723030303030303,0.715728715728716,0.919120369149001,0.693878850617981,3,10
"V1017",0.969135802469136,0.975925925925926,0.972222222222222,0.971480094326537,NA,NA,NA,NA,0.972191011235955,NA,NA,3
"V1022",0.996097178683386,0.997163732640878,0.998006644518272,0.995064240757906,0.850969320534538,0.805223285486444,0.719393468849991,0.91024531024531,0.99658294915011,0.821457846279071,4,7
"V1024",0.95,0.966611180468858,0.956623664863365,0.948148148148148,NA,NA,NA,NA,0.955345748370093,NA,NA,3
"V1026",0.977777777777778,0.979012345679013,0.977639062283257,0.981439866833125,NA,NA,NA,NA,0.978967263143293,NA,NA,3
"V1031",0.989808859615136,0.990601116420566,0.991444679351656,0.988087338906304,0.73191856452726,0.693512767425811,0.801704545454546,0.522862554112554,0.989985498573416,0.687499607880043,2,6
"V1033",0.93926455566905,0.940678142656058,0.933437826541275,0.940624076226556,0.47463768115942,0.495670995670996,0.5,0.433712121212121,0.938501150273235,0.476005199510634,0,5
"V1034",0.967750361763705,0.969290753981765,0.962778061514017,0.974870249782469,0,0.0795454545454546,0.181818181818182,0.0681818181818182,0.968672356760489,0.0823863636363637,0,4
"V1038",0.880581788982873,0.875241369620455,0.874242335254994,0.879108748371164,0.547142857142857,0.672294372294372,0.512752368404542,0.551127819548872,0.877293560557371,0.570829354347661,0,14
"V1039",0.827844326690004,0.822515349837865,0.824530613369885,0.823191165419996,0.686768416768417,0.630052790346908,0.625189255189255,0.662380952380952,0.824520363829437,0.651097853671383,0,43
"V104",0.985185185185185,0.983229296712443,0.980177555832987,0.990740740740741,NA,NA,NA,NA,0.984833194617839,NA,NA,3
"V1045",0.96252581999773,0.956753017062006,0.962835376234253,0.962691521961185,0.536435786435787,0.615118577075099,0.590591473743648,0.704545454545454,0.961201433813793,0.611672822949997,1,5
"V105",0.948875929401145,0.96141065830721,0.95795058293121,0.951577266922094,0.606331168831169,0.382682806324111,0.55861801242236,0.643231225296442,0.954953609390415,0.547715803218521,0,6
"V1052",0.989249884141036,0.990870786516854,0.989305035372451,0.990873907615481,0.795454545454545,0.619565217391304,0.772727272727273,0.659584980237154,0.990074903411455,0.711833003952569,2,4
"V106",0.919151146351958,0.90836699279204,0.91345060950514,0.915450819340154,0.522727272727273,0.564857425183512,0.29827595173705,0.381087662337662,0.914104891997323,0.441737077996374,0,7
"V1060",1,1,1,1,0.863636363636364,0.818181818181819,NA,0.978260869565218,1,0.8866930171278,NA,4
"V1061",0.964627548897212,0.971237657473613,0.973697650663943,0.970037453183521,0.931818181818182,0.954545454545455,NA,NA,0.969900077554572,0.943181818181819,NA,4
"V1062",0.979096771901149,0.974095778146488,0.9798946124186,0.984843360108491,0.570634920634921,0.682954545454545,0.599810606060606,0.483189817428948,0.979482630643682,0.584147472394755,0,7
"V1067",0.996296296296296,0.993813288944375,0.992550977944237,0.992550977944237,NA,NA,NA,NA,0.993802885282286,NA,NA,3
"V1068",0.981894223130178,0.972553626149132,0.973662795134608,0.973631256384065,0.455439488048184,0.528409090909091,0.306818181818182,0.489565687935253,0.975435475199496,0.445058112177677,0,5
"V107",0.899635720096688,0.88751970389692,0.890530977769151,0.900786647959486,0.683454290807232,0.716158578263841,0.675198412698413,0.518620984278879,0.894618262430561,0.648358066512091,1,14
"V1073",0.998148148148148,1,0.98762657788875,0.981335830212235,NA,NA,NA,NA,0.991777639062283,NA,NA,3
"V1082",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V1086",0.996033426493399,0.997437920875421,0.997877298263534,0.998595505617977,0.840909090909091,0.863636363636364,0.886363636363636,0.477272727272728,0.997486037812583,0.767045454545455,3,4
"V1087",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V1088",0.96586000453978,0.960115661653341,0.952556818181818,0.963886240683994,0.580157161678901,0.454545454545454,0.521739130434783,0.498737373737374,0.960604681264733,0.513794780099128,0,5
"V109",0.987654320987654,0.975759467332501,0.985185185185185,0.986974615064502,NA,NA,NA,NA,0.983893397142461,NA,NA,3
"V1092",0.993445692883895,0.995318352059925,0.992977528089887,0.998314606741573,NA,NA,0.779644268774703,0.518280632411067,0.99501404494382,0.648962450592885,NA,4
"V1096",0.975308641975309,0.977777777777778,0.975925925925926,0.973886808156472,NA,NA,NA,NA,0.975724788458871,NA,NA,3
"V1104",0.991330281592454,0.991358024691358,0.996296296296296,0.992592592592593,NA,NA,NA,NA,0.992894298793175,NA,NA,3
"V1105",0.976473852129283,0.977777777777778,0.974074074074074,0.981481481481481,NA,NA,NA,NA,0.977451796365654,NA,NA,3
"V1114",1,1,1,1,0.886363636363636,0.493577075098814,0.954545454545455,0.75098814229249,1,0.771368577075099,3,4
"V1116",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V1126",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V113",0.910763213231609,0.903529440353819,0.915936591708421,0.913032717675861,0.313985088985089,0.464859777903256,0.493655891210239,0.484248231745371,0.910815490742428,0.439187247460989,0,7
"V1136",0.951825450174724,0.960017050268963,0.950274746225675,0.956022360294024,0.571917937135329,0.58728354978355,0.767534349708263,0.589220779220779,0.954534901740846,0.62898915396198,1,9
"V114",0.863219568831562,0.864587277155825,0.869984369353717,0.859255722143374,0.712148962148962,0.728051762371615,0.70046685340803,0.724801048624578,0.864261734371119,0.716367156638296,4,38
"V1143",0.992550977944236,0.991358024691358,0.991330281592454,0.996296296296296,NA,NA,NA,NA,0.992883895131086,NA,NA,3
"V119",0.969356013316688,0.973314606741573,0.976154806491885,0.974843945068664,0.136363636363636,0.422924901185771,0.541501976284585,0.454545454545454,0.973417342904703,0.388833992094862,0,4
"V1190",0.81155723471782,0.787020889974096,0.7999533006199,0.80605919379246,0.265036231884058,0.223033910533911,0.263276397515528,0.31633069828722,0.801147654776069,0.266919309555179,0,9
"V1196",0.835439383748269,0.837251765427822,0.841436648831318,0.842732999041931,0.486728778467909,0.438556965536371,0.459406081273089,0.496428571428571,0.839215199262335,0.470280099176485,0,10
"V1198",0.998148148148148,1,0.997530864197531,0.998148148148148,NA,NA,NA,NA,0.998456790123457,NA,NA,3
"V1199",0.857630540755541,0.846182940215154,0.847044419389708,0.86171760798976,0.621266937396968,0.779196602617655,0.783685300207039,0.616893444246385,0.853143877087541,0.700260571117012,2,19
"V1200",0.873452798318705,0.871568779321944,0.873303549149954,0.879307472569856,0.641559848819911,0.808654970760234,0.736625461778914,0.652780041309453,0.874408149840115,0.709905080667128,2,18
"V1201",0.868563274512642,0.866474358974359,0.86543069055382,0.876291788608862,0.635874534821903,0.760275689223058,0.737674653385382,0.663138386667798,0.86919002816242,0.699240816024535,2,17
"V1202",0.883597304698376,0.890538465487693,0.887131624520203,0.897922771672771,0.663845978582821,0.676913116123643,0.75307126511932,0.617171717171717,0.889797541594761,0.677750519249375,1,14
"V1203",0.869276437736353,0.866153846153846,0.865758050132623,0.876732119882526,0.632706893496367,0.761616541353384,0.728376407771346,0.665099170981524,0.869480113476337,0.696949753400655,2,17
"V1204",0.859049332369802,0.856223311771835,0.861978934882831,0.863015005731695,0.655147084883927,0.73092731829574,0.607082043343653,0.64310562502513,0.860066646189041,0.659065517887112,1,16
"V1205",0.87321843977211,0.871879544506127,0.872748617395676,0.879225769293709,0.643240521088818,0.808654970760234,0.736625461778914,0.653760433466316,0.874268092741905,0.710570346773571,2,18
"V1206",0.894657567251929,0.894295829885261,0.893727327324889,0.902823145003602,0.802351364522417,0.742691102756892,0.814959072874001,0.662597670647206,0.89637596736642,0.755649802700129,3,15
"V1207",0.954560260642859,0.964252069324242,0.965797845565287,0.965817644887412,0.780772005772006,0.739177489177489,0.726190476190476,0.615340909090909,0.96260695510495,0.71537022005772,3,7
"V1208",0.907300917239942,0.901004658205783,0.902948878354001,0.911414516669225,0.657996632996633,0.796365914786967,0.778905319564897,0.697366522366522,0.905667242617238,0.732658597428755,2,16
"V1209",0.954947234707837,0.957919031820159,0.95840870180786,0.965688791372786,0.800478468899522,0.598484848484849,0.701677489177489,0.723872655122655,0.95924093992716,0.706128365421129,3,8
"V1210",0.90615070014799,0.906878939417617,0.90671074292861,0.910366732851609,0.838815789473684,0.788427318295739,0.7917668852438,0.6998312626486,0.907526778836457,0.779710313915456,3,16
"V1211",0.918180840287841,0.913680823401053,0.918604531117293,0.919748055864512,0.714208817498291,0.62202380952381,0.770050125313283,0.666319444444444,0.917553562667675,0.693150549194957,2,11
"V1212",0.906723994163019,0.900736556249918,0.90314885769955,0.911522386227542,0.661515151515151,0.791102756892231,0.778905319564897,0.699218374218374,0.905532948585007,0.732685400547663,2,16
"V1215",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V1226",0.999074074074074,0.998148148148148,1,1,NA,NA,NA,NA,0.999305555555555,NA,NA,3
"V1228",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V1232",0.972265128359665,0.978687436159346,0.964105996031606,0.978342876002698,0.579545454545454,0.381854256854257,0.227272727272727,0.401785714285714,0.973350359138329,0.397614538239538,0,5
"V1234",0.998863636363637,0.998350168350168,0.998579545454546,0.999090909090909,0.869565217391304,0.861471861471862,0.818181818181818,0.746212121212121,0.998721064814815,0.823857754564276,4,5
"V1236",0.941871666603022,0.943463796176778,0.944957995445754,0.938885070200227,0.475757575757576,0.553174603174603,0.675034820252212,0.508008658008658,0.942294632106445,0.552993914298262,0,8
"V1239",0.858864062766502,0.869472561445393,0.862234665621885,0.872780395445172,0.62593984962406,0.565382775119617,0.409686045696276,0.523250948930297,0.865837921319738,0.531064904842563,0,15
"V128",0.988888888888889,0.990740740740741,0.995061728395062,0.995061728395062,NA,NA,NA,NA,0.992438271604938,NA,NA,3
"V13",0.819376442762716,0.803500391989473,0.791700677593661,0.815984610892546,0.292354527623407,0.381109022556391,0.416580086580087,0.360270389412266,0.807640530809599,0.362578506543037,0,11
"V133",0.99438202247191,0.992592592592593,0.990678318768206,0.99074074074074,NA,NA,NA,NA,0.992098418643362,NA,NA,3
"V134",0.987765293383271,0.981164169787765,0.973990785665646,0.986189138576779,0.34955533596838,0.227272727272727,0.136363636363636,0.179841897233202,0.982277346853365,0.223258399209486,0,4
"V14",0.934956304619226,0.916448189762797,0.92962962962963,0.929629629629629,NA,NA,NA,NA,0.927665938410321,NA,NA,3
"V158",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V162",0.763198798388672,0.764099494036203,0.763716722429247,0.764737702522513,0.339991645781119,0.442581453634085,0.318532695374801,0.410910609857978,0.763938179344159,0.378004101161996,0,18
"V165",0.996296296296296,0.99812734082397,0.993813288944375,0.997530864197531,NA,NA,NA,NA,0.996441947565543,NA,NA,3
"V174",0.893350010423181,0.874680981780567,0.882616564114296,0.886602772196031,0.602188552188552,0.5245445052024,0.635235548764961,0.629136745607334,0.884312582128519,0.597776337940812,0,16
"V177",0.995735004050579,0.997609427609428,0.997209595959596,0.995376899565199,0.818181818181819,0.806637806637807,0.842344249952946,0.805735930735931,0.9964827317962,0.818224951377125,4,5
"V178",0.7769051623482,0.751350254079012,0.760881021285214,0.774127888184434,0.303738859180036,0.492552213868003,0.504464285714286,0.429249192499967,0.765816081474215,0.432501137815573,0,19
"V179",0.987194357366771,0.984499925361994,0.987381222715566,0.986842580924377,0.672567287784679,0.76948051948052,0.59948593073593,0.673674242424243,0.986479521592177,0.678801995106343,1,7
"V18",0.98503367003367,0.980885713652083,0.988323307986229,0.97861206015991,0.638026224982747,0.750721500721501,0.780420666290232,0.863636363636364,0.983213687957973,0.758201188907711,3,5
"V181",0.910703237694215,0.921436469843758,0.917684306810112,0.914668526333983,0.704135338345865,0.667943722943723,0.65952380952381,0.653901799954432,0.916123135170517,0.671376167691957,1,12
"V184",0.993456096545984,0.992388680815647,0.997191011235955,0.987900540990428,0.41798418972332,0.639328063241107,0.41699604743083,0.659090909090909,0.992734082397004,0.533349802371542,0,4
"V187",0.97283950617284,0.965432098765432,0.974074074074074,0.985122763212651,NA,NA,NA,NA,0.974367110556249,NA,NA,3
"V189",0.969396144159104,0.970707685373,0.963717099631766,0.957515381453303,0.580790043290043,0.416873706004141,0.468756822887258,0.592753623188406,0.965334077654293,0.514793548842462,0,8
"V192",0.997530864197531,0.997530864197531,0.997530864197531,0.997516992648079,NA,NA,NA,NA,0.997527396310168,NA,NA,3
"V2",0.904791477509174,0.921710196534635,0.931424084004842,0.943566375364128,0.409090909090909,0.329545454545455,0.136363636363636,0.220602766798419,0.925373033353195,0.273900691699605,0,4
"V201",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V217",0.935370950888192,0.957174128929747,0.947943949373628,0.954783466852432,0.681818181818182,0.393398268398268,0.69484126984127,0.671030961791832,0.948818124011,0.610272170462388,0,6
"V221",0.91425702204772,0.917192575312062,0.923893637220858,0.912999093929327,0.470899470899471,0.433681535855449,0.256652315076228,0.509057971014493,0.917085582127492,0.41757282321141,0,7
"V224",0.92054370222958,0.941773214516337,0.925256610075963,0.950726317481935,0.568181818181818,0.568452380952381,0.795454545454546,0.380070111048372,0.934574961075954,0.578039713909279,1,5
"V225",0.964058815369677,0.966666666666667,0.966666666666667,0.961548064918852,NA,NA,NA,NA,0.964735053405466,NA,NA,3
"V226",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V228",1,1,0.99812734082397,1,NA,NA,NA,NA,0.999531835205993,NA,NA,3
"V235",0.966901695382048,0.966637390053589,0.957550255831719,0.970438520235681,0.480248917748918,0.608806818181818,0.619047619047619,0.681195887445887,0.965381965375759,0.597324810606061,0,7
"V237",0.972222222222222,0.967845748370093,0.975156054931336,0.966666666666667,NA,NA,NA,NA,0.970472673047579,NA,NA,3
"V239",0.998636363636364,0.997405515832482,0.998295454545455,0.997272727272727,0.728715728715729,0.907287157287157,0.372529644268774,0.731240981240981,0.997902515321757,0.684943377878161,3,5
"V240",0.988836870578443,0.982716049382716,0.983229296712443,0.998148148148148,NA,NA,NA,NA,0.988232591205438,NA,NA,3
"V241",0.893173400106794,0.908038805908989,0.905912111144669,0.907109011648414,0.622132983975089,0.519862836438923,0.475,0.295819217014869,0.903558332202216,0.47820375935722,0,8
"V244",1,0.999074074074074,1,0.99504785684561,NA,NA,NA,NA,0.998530482729921,NA,NA,3
"V246",0.971245245443321,0.966367350906244,0.965605734840843,0.96991602057432,0.572781385281385,0.719967532467533,0.532323232323232,0.563017598343685,0.968283587941182,0.597022437103959,1,7
"V249",1,1,1,0.997769454848107,0.977272727272728,0.782608695652174,0.931818181818182,0.795454545454546,0.999442363712027,0.871788537549407,4,4
"V250",0.88634765017118,0.898935452578342,0.896975413843355,0.90305999095361,0.699206349206349,0.596130952380952,0.635386762360447,0.763699020277968,0.896329626886621,0.673605771056429,1,10
"V251",0.991358024691358,0.990740740740741,0.993799417394923,0.994444444444444,NA,NA,NA,NA,0.992585656817867,NA,NA,3
"V254",0.924436121514773,0.904631166534256,0.914766106760489,0.904551602163961,0.265563241106719,0.0681818181818182,0.272727272727273,0.383399209486166,0.91209624924337,0.247467885375494,0,4
"V258",0.999074074074074,1,0.997777777777778,1,0.576086956521739,0.613636363636364,0.727766798418972,0.579545454545454,0.999212962962963,0.624258893280632,1,4
"V267",0.981481481481482,0.983333333333334,0.990657511444028,0.991330281592454,NA,NA,NA,NA,0.986700651962824,NA,NA,3
"V269",0.786439765734627,0.78215729065604,0.781190031253541,0.776535055338468,0.428837535014006,0.586483856700575,0.549181450357921,0.492210777698394,0.781580535745669,0.514178404942724,0,29
"V270",0.724467716223413,0.729899470457279,0.722096376479938,0.713092611660387,0.437973160024244,0.455802987861812,0.412397660818713,0.520530753968254,0.722389043705254,0.456676140668256,0,32
"V271",0.917598561477518,0.919234328411633,0.921689887715113,0.906186567650316,0.50625,0.506734006734007,0.476388888888889,0.48989898989899,0.916177336313645,0.494817971380471,0,9
"V273",0.913850296989832,0.933378657020116,0.936235779854172,0.941019540522583,0.477743271221532,0.479783079239601,0.480316205533597,0.548647186147186,0.931121068596676,0.496622435535479,0,7
"V30",0.93424885559717,0.925565265640172,0.935185185185185,0.929324455541684,NA,NA,NA,NA,0.931080940491053,NA,NA,3
"V307",0.944358474656012,0.929412512055038,0.946973028204142,0.935107588250659,0.726363636363636,0.740404040404041,0.777733736515201,0.734391534391534,0.938962900791463,0.744723236918603,4,10
"V32",0.99812734082397,0.995061728395062,0.99812734082397,0.993813288944375,NA,NA,NA,NA,0.996282424746844,NA,NA,3
"V323",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V324",0.917744495870507,0.930595943096416,0.938019732205779,0.927558575037018,0.489772727272727,0.365976143421796,0.343685300207039,0.454951690821256,0.92847968655243,0.413596465430705,0,7
"V325",0.993333333333333,0.991525153217569,0.993208477565922,0.994181574641547,0.778162055335968,0.590909090909091,0.681818181818182,0.795454545454545,0.993062134689593,0.711585968379447,2,4
"V328",0.933363088246809,0.943092986213104,0.927686929393227,0.92439757039867,0.604545454545454,0.587301587301587,0.704004329004329,0.681673881673882,0.932135143562952,0.644381313131313,1,6
"V33",0.830540880652874,0.814443720204685,0.842197178613047,0.840903922292431,0.47738189346885,0.46259457933371,0.425440115440115,0.353008658008658,0.832021425440759,0.429606311562833,0,10
"V34",0.938701622971286,0.926869191288667,0.938021917048134,0.926643778610071,NA,NA,NA,NA,0.93255912747954,NA,NA,3
"V340",0.858502579626343,0.847906005238515,0.860368155381706,0.855273968227898,0.391280473912053,0.408171152518979,0.436810966810967,0.525357142857143,0.855512677118615,0.440404934024785,0,14
"V341",0.993639874872319,0.987827715355805,0.994023569023569,0.993112775697045,0.727272727272728,0.909090909090909,0.715909090909091,0.671936758893281,0.992150983737185,0.756052371541502,3,4
"V342",0.944490551583248,0.953979400749064,0.955447357469829,0.966385767790262,NA,0.648221343873517,0.53903162055336,0.25,0.955075769398101,0.479084321475626,NA,4
"V344",0.962685436308063,0.949079725969497,0.958805874840358,0.950701457871835,0.433609385783299,0.741071428571428,0.590151515151515,0.428643578643578,0.955318123747438,0.548368977037455,1,6
"V35",0.914588993382097,0.907820155578776,0.919231133496922,0.90884106465664,0.624785902503293,0.395734519104084,0.401585733107472,0.448277809147374,0.912620336778609,0.467595990965556,0,6
"V351",1,1,1,1,NA,NA,NA,NA,1,NA,NA,3
"V355",0.998765432098765,1,1,1,NA,NA,NA,NA,0.999691358024691,NA,NA,3
"V361",0.976686811939621,0.979443829682594,0.970992402962207,0.969139427987743,0.320781573498965,0.503364389233954,0.41501976284585,0.318181818181818,0.974065618143041,0.389336885940147,0,5
"V362",0.97085291113381,0.97162093621218,0.963855799373041,0.968886364614764,0.501411631846415,0.550077639751553,0.660507246376811,0.553391053391053,0.968804002833449,0.566346892841458,0,6
"V365",0.872989835500596,0.883102971426596,0.885407108384987,0.876776831365419,0.464575569358178,0.57707509881423,0.60968998583415,0.578448963317384,0.879569186669399,0.557447404330986,0,11
"V368",0.810990938885676,0.814264390623681,0.80376107058413,0.81773245390334,0.519323308270677,0.518475355054302,0.501385281385282,0.618245614035088,0.811687213499206,0.539357389686337,0,19
"V374",0.855065865703711,0.853591311057036,0.852748741773132,0.853602777121558,0.519761904761905,0.563751803751804,0.494968944099379,0.575930735930736,0.853752173913859,0.538603347135956,0,11
"V375",0.832196679584279,0.839458703083763,0.828558313163257,0.834171792697603,0.525009113693324,0.585079365079365,0.517027350986161,0.602516233766234,0.833596372132226,0.557408015881271,0,13
"V376",0.92637946792912,0.922283176593521,0.924588061853499,0.9229840904462,0.63481672313194,0.708658008658009,0.663843402973838,0.682711038961039,0.924058699205585,0.672507293431206,1,7
"V377",0.935061534889121,0.935798022847616,0.93040077254529,0.932903769864836,0.616872529644269,0.703733766233766,0.70175983436853,0.657467532467533,0.933541025036716,0.669958415678524,2,6
"V378",0.941319358834372,0.949526727953694,0.94414165058828,0.944976166155941,0.795454545454545,0.786796536796537,0.630446546207416,0.668831168831169,0.944990975883072,0.720382199322417,2,5
"V379",0.967568947906027,0.97059925093633,0.979531090398366,0.989912940264064,0.590909090909091,0.772727272727273,0.443181818181819,0.443181818181818,0.976903057376196,0.5625,1,4
"V381",0.967576927987742,0.97059925093633,0.979531090398366,0.99083886618999,0.590909090909091,0.795454545454546,0.443181818181819,0.431818181818181,0.977136533878107,0.565340909090909,1,4
"V386",0.986974615064502,0.988888888888889,0.994444444444444,0.989814814814815,NA,NA,NA,NA,0.990030690803163,NA,NA,3
"V387",0.967576927987742,0.971301498127341,0.979531090398366,0.99083886618999,0.590909090909091,0.772727272727273,0.443181818181819,0.431818181818181,0.97731209567586,0.559659090909091,1,4
"V404",0.972097378277153,0.958024691358025,0.968248023304203,0.964072686919129,NA,NA,NA,NA,0.965610694964628,NA,NA,3
"V408",0.990123456790124,0.998148148148148,0.99812734082397,0.992592592592593,NA,NA,NA,NA,0.994747884588709,NA,NA,3
"V437",0.855183460475458,0.869281516224061,0.872606007273888,0.86648080520462,0.477472894192002,0.485227272727273,0.348000683526999,0.445445526695527,0.865887947294506,0.43903659428545,0,10
"V439",0.947987695722259,0.954429172940296,0.960067920585162,0.948580489278164,0.651665725578769,0.411183261183261,0.572727272727273,0.632275132275132,0.95276631963147,0.566962847941109,0,7
